host_response_time,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights_avg_ntm,maximum_nights_avg_ntm,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,reviews_per_month,district,neighbourhood,has_wifi,has_essentials,has_kitchen,has_heating,has_washer,has_hangers,has_tv,has_hair_dryer,has_iron,has_shampoo,has_laptop_friendly_workspace,has_air_conditioning,has_hot_water,has_elevator,has_refrigerator,has_dishes_and_silverware,has_microwave,has_bed_linens,has_no_stairs_or_steps_to_enter,has_coffee_maker,has_cooking_basics,has_family/kid_friendly,has_long_term_stays_allowed,has_first_aid_kit,has_oven,has_stove,has_license,activity_months,income_med_occupation,price_med_occupation_per_accommodate
within an hour,41.4042,2.17306,Apartment,Entire home/apt,8,2.0,3.0,54.0,135.0,45.0,2,27.0,1.9,1125.0,16,11,2013-05-27,2019-08-04,85.0,9.0,9.0,9.0,10.0,9.0,8.0,1,strict_14_with_grace_period,0.21,Eixample,la Sagrada Familia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,74.25203802952832,498.6,124.65
within a few hours,41.4056,2.19821,Apartment,Private room,2,1.0,1.0,29.7,90.0,0.0,1,9.0,2.1,1125.0,125,31,2016-05-08,2019-09-08,90.0,10.0,9.0,10.0,10.0,9.0,9.0,0,moderate,3.05,Sant Marti,el Poblenou,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,40.017248814144025,124.74,124.74
within an hour,41.41203,2.22114,Apartment,Entire home/apt,6,2.0,3.0,189.0,270.0,72.0,3,9.0,3.1,1125.0,49,17,2011-03-15,2019-09-10,94.0,10.0,10.0,10.0,10.0,9.0,9.0,1,strict_14_with_grace_period,0.47,Sant Marti,el Besos i el Maresme,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,101.88299554405634,865.8,288.6
within an hour,41.40145,2.15645,Apartment,Private room,2,1.0,1.0,40.5,0.0,0.0,1,22.5,1.0,730.0,254,48,2010-08-11,2019-09-10,95.0,10.0,10.0,10.0,10.0,10.0,10.0,1,strict_14_with_grace_period,2.29,Gracia,la Vila de Gracia,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,108.97965050617056,170.1,170.1
within an hour,41.41097,2.1707,Apartment,Private room,2,1.0,1.0,37.8,0.0,0.0,2,4.5,3.0,1125.0,4,0,2015-05-20,2018-03-12,95.0,9.0,10.0,10.0,10.0,9.0,9.0,0,strict_14_with_grace_period,0.08,Horta-Guinardo,el Baix Guinardo,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,33.74196595412637,158.76,158.76
within an hour,41.4109,2.17082,Apartment,Private room,3,1.0,1.0,47.7,0.0,0.0,3,9.0,3.0,1125.0,40,2,2015-06-20,2019-05-12,87.0,9.0,9.0,9.0,9.0,8.0,9.0,0,strict_14_with_grace_period,0.77,Horta-Guinardo,el Baix Guinardo,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,46.7196451672519,200.34,100.17
within an hour,41.4095,2.15938,Apartment,Entire home/apt,4,1.0,1.0,54.9,180.0,52.2,4,0.0,1.9,27.0,179,33,2011-02-19,2019-08-22,92.0,9.0,9.0,9.0,9.0,9.0,9.0,1,strict_14_with_grace_period,1.71,Gracia,el Camp d'en Grassot i Gracia Nova,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,102.04726996447566,282.78,141.39
within an hour,41.409279999999995,2.16112,Apartment,Entire home/apt,5,1.5,3.0,63.9,180.0,97.2,5,0.0,1.9,27.0,84,17,2011-01-07,2019-09-01,87.0,9.0,9.0,9.0,9.0,9.0,8.0,1,strict_14_with_grace_period,0.79,Gracia,el Camp d'en Grassot i Gracia Nova,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,103.78857882092035,365.58,121.86
-unk-,41.3872,2.14088,Apartment,Private room,1,1.0,1.0,27.0,0.0,0.0,1,13.5,29.0,60.0,19,0,2010-08-26,2014-05-12,99.0,10.0,10.0,10.0,10.0,9.0,9.0,0,moderate,0.17,Les Corts,les Corts,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,44.51836793363314,113.4,113.4
within an hour,41.40464,2.16954,Apartment,Entire home/apt,6,1.5,2.0,126.0,180.0,67.5,4,18.0,2.0,31.0,56,11,2011-07-17,2019-09-06,87.0,8.0,9.0,10.0,10.0,10.0,9.0,1,flexible,0.56,Gracia,el Camp d'en Grassot i Gracia Nova,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,97.677570381322,596.7,198.9
