host_response_time,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights_avg_ntm,maximum_nights_avg_ntm,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,reviews_per_month,district,neighbourhood,has_wifi,has_essentials,has_kitchen,has_heating,has_washer,has_hangers,has_tv,has_hair_dryer,has_iron,has_shampoo,has_laptop_friendly_workspace,has_air_conditioning,has_hot_water,has_elevator,has_refrigerator,has_dishes_and_silverware,has_microwave,has_bed_linens,has_no_stairs_or_steps_to_enter,has_coffee_maker,has_cooking_basics,has_family/kid_friendly,has_long_term_stays_allowed,has_first_aid_kit,has_oven,has_stove,has_license,activity_months,income_med_occupation,price_med_occupation_per_accommodate
within a few hours,40.45628,-3.67763,Apartment,Private room,2,1.0,1.0,63.0,0.0,4.5,2,13.5,1.0,365.0,65,6,2010-03-14,2019-09-04,98.0,10.0,10.0,9.0,10.0,9.0,10.0,0,flexible,0.56,Chamartin,Hispanoamerica,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,113.7107538142467,237.6,237.6
-unk-,40.40341,-3.74084,Apartment,Private room,1,1.0,1.0,15.3,0.0,0.0,1,7.2,4.0,40.0,33,0,2014-10-10,2018-07-15,92.0,9.0,9.0,10.0,10.0,8.0,9.0,0,strict_14_with_grace_period,0.55,Latina,Carmenes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,45.14261073122651,56.61,56.61
within a day,40.42202,-3.70395,Apartment,Entire home/apt,3,1.0,0.0,72.0,180.0,27.0,2,0.0,5.0,730.0,2,0,2014-11-29,2017-07-03,100.0,8.0,8.0,10.0,10.0,10.0,10.0,0,moderate,0.03,Centro,Universidad,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,31.1135752274174,293.4,146.7
within a few hours,40.41995,-3.6976400000000003,Apartment,Entire home/apt,4,1.5,2.0,103.5,180.0,0.0,4,0.0,3.0,1125.0,64,18,2011-06-02,2019-07-07,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate,0.63,Centro,Justicia,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,97.1518922359802,382.95,191.47
within an hour,40.38985,-3.69011,House,Private room,1,1.0,1.0,22.5,0.0,13.5,1,0.0,2.0,365.0,136,27,2010-05-10,2019-07-10,94.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict_14_with_grace_period,1.19,Arganzuela,Legazpi,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,109.99815191277028,96.75,96.75
within an hour,40.41552,-3.7034599999999998,Apartment,Entire home/apt,2,1.0,1.0,58.5,0.0,0.0,1,16.2,5.0,180.0,168,18,2010-07-06,2019-07-09,93.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate,1.5,Centro,Sol,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,108.09256863590628,216.45,216.45
-unk-,40.41111,-3.70269,Loft,Entire home/apt,2,1.0,1.0,48.6,0.0,0.0,1,0.0,3.0,730.0,8,0,2015-05-12,2017-05-30,88.0,8.0,9.0,9.0,9.0,10.0,9.0,0,moderate,0.15,Centro,Embajadores,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24.608308178812706,179.82,179.82
within an hour,40.42096,-3.7042800000000002,Apartment,Entire home/apt,3,1.0,1.0,81.0,0.0,0.0,1,0.0,3.0,180.0,38,9,2010-11-01,2019-07-07,94.0,9.0,10.0,10.0,10.0,10.0,9.0,1,moderate,0.35,Centro,Universidad,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,104.14998254584283,299.7,149.85
within an hour,40.4208,-3.69878,Apartment,Private room,3,1.5,1.0,40.5,180.0,19.8,2,22.5,1.0,30.0,57,40,2018-05-10,2019-07-29,90.0,10.0,9.0,10.0,10.0,10.0,9.0,1,strict_14_with_grace_period,3.43,Centro,Justicia,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14.62042341731863,169.65,84.83
within a few hours,40.42365,-3.7088900000000002,Apartment,Entire home/apt,2,1.0,1.0,58.5,135.0,0.0,1,0.0,5.0,365.0,85,19,2011-02-23,2019-09-16,97.0,10.0,10.0,10.0,10.0,10.0,9.0,0,moderate,0.81,Centro,Universidad,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,102.73722253023676,216.45,216.45
