host_response_time,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights_avg_ntm,maximum_nights_avg_ntm,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,reviews_per_month,district,neighbourhood,has_wifi,has_essentials,has_kitchen,has_heating,has_washer,has_hangers,has_tv,has_hair_dryer,has_iron,has_shampoo,has_laptop_friendly_workspace,has_air_conditioning,has_hot_water,has_elevator,has_refrigerator,has_dishes_and_silverware,has_microwave,has_bed_linens,has_no_stairs_or_steps_to_enter,has_coffee_maker,has_cooking_basics,has_family/kid_friendly,has_long_term_stays_allowed,has_first_aid_kit,has_oven,has_stove,has_license,activity_months,income_med_occupation,price_med_occupation_per_accommodate
within an hour,36.71935,-4.35695,Apartment,Entire home/apt,3,1.0,2.0,44.1,90.0,0.0,1,0.0,4.0,60.0,69,25,2013-10-18,2019-08-26,88.0,9.0,9.0,10.0,10.0,9.0,9.0,1,strict_14_with_grace_period,0.95,nan,ESTE,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,70.24374217129716,132.3,66.15
within an hour,36.72394,-4.48072,Apartment,Private room,2,2.0,1.0,27.0,0.0,0.0,1,0.0,60.0,1125.0,11,1,2014-12-26,2018-10-31,96.0,10.0,9.0,10.0,10.0,10.0,10.0,0,strict_14_with_grace_period,0.19,nan,TEATINOS-UNIVERSIDAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.16111213782624,81.0,81.0
within an hour,36.706579999999995,-4.43705,Apartment,Entire home/apt,3,1.0,2.0,33.3,180.0,18.0,1,7.2,4.0,180.0,85,13,2011-08-06,2019-09-19,93.0,10.0,9.0,10.0,10.0,9.0,9.0,1,moderate,0.86,nan,CARRETERA DE CADIZ,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,97.44758619273496,139.5,69.75
within an hour,36.72723,-4.4072,Condominium,Entire home/apt,5,2.5,3.0,162.0,450.0,36.0,4,18.0,3.0,365.0,18,0,2011-10-08,2018-09-25,91.0,9.0,9.0,10.0,10.0,9.0,9.0,0,strict_14_with_grace_period,0.19,nan,CENTRO,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,83.58282510934517,522.0,174.0
within a few hours,36.74604,-4.41747,Apartment,Entire home/apt,6,1.0,3.0,45.0,0.0,0.0,4,9.0,5.0,30.0,99,14,2011-08-16,2019-09-25,92.0,9.0,10.0,10.0,9.0,9.0,9.0,0,flexible,1.0,nan,CIUDAD JARDIN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,97.31616665639952,135.0,45.0
within a few hours,36.71934,-4.35942,Apartment,Private room,3,2.0,1.0,17.1,0.0,0.0,1,9.0,5.0,365.0,64,14,2011-08-25,2019-09-15,93.0,9.0,9.0,10.0,10.0,10.0,9.0,0,moderate,0.65,nan,ESTE,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,96.69192385880613,78.3,39.15
within an hour,36.72606,-4.36541,Apartment,Shared room,2,1.5,1.0,31.5,0.0,27.0,1,0.0,2.0,90.0,34,5,2012-02-17,2019-08-19,95.0,9.0,10.0,10.0,10.0,9.0,9.0,0,strict_14_with_grace_period,0.37,nan,ESTE,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90.02238238978214,121.5,121.5
within an hour,36.79153,-4.38309,House,Entire home/apt,12,2.0,4.0,153.0,225.0,45.0,6,4.5,4.0,365.0,2,0,2017-08-20,2018-08-28,100.0,10.0,10.0,10.0,10.0,7.0,10.0,0,strict_14_with_grace_period,0.08,nan,CIUDAD JARDIN,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,12.25487176328056,504.0,84.0
within an hour,36.72416,-4.42225,Apartment,Entire home/apt,6,1.0,2.0,76.5,135.0,40.5,2,18.0,2.0,1125.0,142,48,2012-05-30,2019-09-20,92.0,9.0,9.0,9.0,9.0,10.0,9.0,1,moderate,1.59,nan,CENTRO,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,87.68968561982793,324.0,108.0
within an hour,36.72294,-4.3772400000000005,Apartment,Entire home/apt,10,3.0,5.0,76.5,135.0,40.5,6,13.5,6.6,365.0,100,10,2014-07-08,2019-09-01,94.0,10.0,9.0,10.0,10.0,10.0,10.0,1,strict_14_with_grace_period,1.57,nan,ESTE,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,61.800036961744595,270.0,54.0
