host_response_time,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights_avg_ntm,maximum_nights_avg_ntm,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,reviews_per_month,district,neighbourhood,has_wifi,has_essentials,has_kitchen,has_heating,has_washer,has_hangers,has_tv,has_hair_dryer,has_iron,has_shampoo,has_laptop_friendly_workspace,has_air_conditioning,has_hot_water,has_elevator,has_refrigerator,has_dishes_and_silverware,has_microwave,has_bed_linens,has_no_stairs_or_steps_to_enter,has_coffee_maker,has_cooking_basics,has_family/kid_friendly,has_long_term_stays_allowed,has_first_aid_kit,has_oven,has_stove,has_license,activity_months,income_med_occupation,price_med_occupation_per_accommodate
within an hour,37.39468,-6.00183,Apartment,Entire home/apt,4,1.0,2,89.1,180.0,9.0,2,27.0,2.0,120.0,153,41,2011-01-05,2019-09-26,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,super_strict_60,1.44,Casco Antiguo,SAN VICENTE,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,104.67566069118462,276.3,138.15
within an hour,37.39855,-5.99365,Apartment,Entire home/apt,3,1.0,1,44.1,0.0,18.0,2,13.5,3.0,365.0,38,20,2011-02-27,2019-08-18,92.0,10.0,10.0,10.0,10.0,10.0,9.0,1,strict_14_with_grace_period,0.36,Casco Antiguo,FERIA,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,101.65301135546932,150.3,75.15
within a few hours,37.39012,-5.986759999999999,House,Private room,2,1.0,1,49.5,0.0,13.5,1,0.0,2.0,365.0,75,7,2011-09-28,2019-06-05,87.0,9.0,8.0,10.0,9.0,10.0,9.0,0,strict_14_with_grace_period,0.77,Casco Antiguo,SAN BARTOLOME,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,92.22365962340089,162.0,162.0
within an hour,37.39645,-5.99887,Apartment,Entire home/apt,6,1.0,2,52.2,90.0,18.0,2,13.5,2.0,1125.0,141,4,2011-05-17,2019-09-27,95.0,10.0,10.0,10.0,10.0,10.0,9.0,0,strict_14_with_grace_period,1.38,Casco Antiguo,SAN VICENTE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100.37167087619869,215.1,71.7
within an hour,37.399390000000004,-5.992369999999999,Apartment,Entire home/apt,6,1.0,2,58.5,0.0,27.0,2,9.0,3.0,365.0,80,11,2011-09-19,2019-09-15,92.0,9.0,10.0,10.0,10.0,10.0,9.0,1,strict_14_with_grace_period,0.82,Casco Antiguo,FERIA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,95.87055175670959,229.5,76.5
within an hour,37.396390000000004,-6.00021,Apartment,Entire home/apt,4,1.0,1,51.3,90.0,13.5,2,13.5,60.0,360.0,50,6,2013-04-12,2019-09-07,93.0,9.0,9.0,10.0,10.0,9.0,9.0,0,strict_14_with_grace_period,0.63,Casco Antiguo,SAN VICENTE,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,76.84757387215343,167.4,83.7
within an hour,37.3868,-5.996659999999999,Apartment,Entire home/apt,4,1.0,1,58.5,90.0,27.0,2,9.0,3.0,365.0,152,18,2011-06-15,2019-09-13,91.0,9.0,9.0,10.0,9.0,10.0,9.0,1,strict_14_with_grace_period,1.5,Casco Antiguo,ARENAL,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,98.95891086059262,202.5,101.25
within an hour,37.38595,-5.997000000000001,Apartment,Entire home/apt,4,1.5,1,54.0,90.0,27.0,2,9.0,3.0,365.0,94,27,2011-07-26,2019-09-16,91.0,10.0,10.0,9.0,9.0,10.0,9.0,1,strict_14_with_grace_period,0.94,Casco Antiguo,ARENAL,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,97.71042526540586,189.0,94.5
within an hour,37.38814,-5.99399,Apartment,Private room,2,0.5,1,27.0,0.0,9.0,1,13.5,1.0,30.0,657,87,2011-05-31,2019-09-25,91.0,9.0,9.0,9.0,10.0,10.0,9.0,1,strict_14_with_grace_period,6.47,Casco Antiguo,SANTA CRUZ,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,99.84599273085689,90.0,90.0
within an hour,37.39502,-6.00063,Apartment,Entire home/apt,4,1.0,1,62.1,135.0,0.0,2,13.5,4.5,365.0,219,26,2012-03-12,2019-09-19,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,strict_14_with_grace_period,2.38,Casco Antiguo,SAN VICENTE,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,90.25236657836916,186.3,93.15
