host_response_time,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights_avg_ntm,maximum_nights_avg_ntm,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,reviews_per_month,district,neighbourhood,has_wifi,has_essentials,has_kitchen,has_heating,has_washer,has_hangers,has_tv,has_hair_dryer,has_iron,has_shampoo,has_laptop_friendly_workspace,has_air_conditioning,has_hot_water,has_elevator,has_refrigerator,has_dishes_and_silverware,has_microwave,has_bed_linens,has_no_stairs_or_steps_to_enter,has_coffee_maker,has_cooking_basics,has_family/kid_friendly,has_long_term_stays_allowed,has_first_aid_kit,has_oven,has_stove,has_license,activity_months,income_med_occupation,price_med_occupation_per_accommodate
-unk-,39.35621,-0.32292,Condominium,Entire home/apt,6,1.0,2.0,90.0,90.0,45.0,4,4.5,14.0,30.0,51,9,2013-04-22,2019-08-07,93.0,10.0,9.0,10.0,10.0,10.0,9.0,0,flexible,0.65,POBLATS DEL SUD,EL SALER,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,75.50052362471509,378.0,126.0
within an hour,39.48575,-0.37428,Apartment,Entire home/apt,4,1.5,2.0,40.5,0.0,22.5,2,0.0,3.0,15.0,93,27,2010-10-12,2019-09-29,92.0,10.0,10.0,10.0,10.0,9.0,9.0,0,strict_14_with_grace_period,0.85,LA SAIDIA,MORVEDRE,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,107.56689049056449,172.35,86.17
within an hour,39.4607,-0.38347,Apartment,Private room,2,1.0,1.0,18.0,0.0,0.0,1,10.8,2.0,7.0,163,67,2017-12-10,2019-09-28,94.0,9.0,9.0,10.0,10.0,9.0,9.0,0,strict_14_with_grace_period,7.41,EXTRAMURS,ARRANCAPINS,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,21.585658843097395,66.6,66.6
within an hour,39.47209,-0.33098,House,Entire home/apt,16,6.0,5.0,360.0,900.0,0.0,8,40.5,1.0,1825.0,112,22,2011-11-08,2019-08-25,91.0,9.0,9.0,10.0,9.0,10.0,9.0,0,strict_14_with_grace_period,1.17,POBLATS MARITIMS,CABANYAL-CANYAMELAR,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,93.53785498675538,1332.0,166.5
within an hour,39.46848,-0.38074,Apartment,Entire home/apt,2,1.0,1.0,49.5,90.0,0.0,1,0.0,3.0,730.0,75,28,2011-09-02,2019-09-16,88.0,9.0,9.0,9.0,10.0,10.0,9.0,0,moderate,0.76,EXTRAMURS,LA ROQUETA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,96.4619396702191,183.15,183.15
within an hour,39.47387,-0.3777,Condominium,Entire home/apt,3,0.0,1.0,67.5,90.0,0.0,1,0.0,5.0,365.0,11,3,2011-11-02,2019-08-16,86.0,8.0,8.0,9.0,9.0,9.0,9.0,0,moderate,0.11,CIUTAT VELLA,EL MERCAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,93.4392903345038,249.75,124.88
within a few hours,39.463159999999995,-0.34768000000000004,Apartment,Entire home/apt,5,1.0,2.0,45.0,0.0,13.5,2,9.0,2.0,730.0,80,8,2011-06-26,2019-09-30,97.0,10.0,10.0,10.0,10.0,9.0,10.0,0,moderate,0.79,CAMINS AL GRAU,LA CREU DEL GRAU,1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,99.15604016509579,213.3,71.1
within an hour,39.45624,-0.36809000000000003,House,Private room,2,1.5,1.0,28.8,0.0,0.0,1,9.0,2.0,30.0,190,19,2011-09-03,2019-08-21,90.0,9.0,9.0,10.0,9.0,9.0,9.0,0,strict_14_with_grace_period,1.93,QUATRE CARRERES,EN CORTS,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,95.57485779995483,106.56,106.56
within an hour,39.46161,-0.3603,Apartment,Entire home/apt,11,2.0,4.0,252.0,225.0,90.0,6,13.5,2.0,330.0,66,22,2012-01-16,2019-09-24,96.0,10.0,10.0,10.0,10.0,9.0,9.0,0,strict_14_with_grace_period,0.7,QUATRE CARRERES,MONT-OLIVET,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,92.25651450748475,1022.4,170.4
within an hour,39.46609,-0.32673,House,Entire home/apt,10,3.0,6.0,180.0,180.0,63.0,10,9.0,2.1,30.0,150,32,2011-07-23,2019-09-29,92.0,10.0,10.0,10.0,10.0,9.0,9.0,1,moderate,1.5,POBLATS MARITIMS,CABANYAL-CANYAMELAR,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,98.23610341074766,729.0,145.8
