Localización;Precio m2 oct 2019;Variación mensual;Variación trimestral;Variación anual;Máximo histórico;Variación máximo
Barcelona;16,7 €/m2;0,0 %;0,1 %;1,8 %;16,7 €/m2 oct 2019;0,0 %
Ciutat Vella;18,8 €/m2;1,6 %;2,3 %;0,0 %;20,0 €/m2 mayo 2017;-6,3 %
Eixample;16,7 €/m2;-1,2 %;-1,2 %;0,0 %;17,3 €/m2 nov 2017;-3,5 %
Gràcia;15,7 €/m2;-3,0 %;-2,5 %;-1,0 %;16,4 €/m2 mayo 2019;-4,0 %
Horta-Guinardó;13,6 €/m2;-0,6 %;2,9 %;3,9 %;13,7 €/m2 sep 2019;-0,6 %
Les Corts;15,8 €/m2;0,0 %;1,7 %;-0,2 %;16,0 €/m2 nov 2018;-1,3 %
Nou Barris;13,1 €/m2;-2,2 %;2,9 %;4,1 %;13,4 €/m2 sep 2019;-2,2 %
Sant Andreu;13,7 €/m2;2,4 %;4,1 %;5,3 %;13,7 €/m2 oct 2019;0,0 %
Sant Martí;16,8 €/m2;0,6 %;0,4 %;4,7 %;17,0 €/m2 feb 2018;-1,3 %
Sants-Montjuïc;15,3 €/m2;-1,1 %;-1,7 %;-1,2 %;16,0 €/m2 ene 2018;-4,5 %
Sarrià-Sant Gervasi;17,2 €/m2;0,7 %;2,3 %;3,7 %;17,2 €/m2 oct 2019;0,0 %
